driverId,week,hours-logged,miles-logged
995,41,68,2800
98,8,73,1100
604,17,79,2300
22,14,72,400
591,37,64,3000
128,14,54,3800
463,6,55,1100
222,49,53,0
379,16,50,2800
939,44,54,1100
906,22,64,2500
880,26,55,4000
836,50,74,500
649,44,51,3300
667,17,69,0
547,5,62,900
538,52,55,100
483,33,67,3000
916,49,52,3900
844,3,52,2800
425,41,66,800
696,22,54,2100
786,30,79,3600
992,42,53,3900
150,2,80,200
84,31,56,1100
353,39,77,3600
296,9,60,900
816,8,69,1400
146,35,78,1700
676,36,50,0
582,4,54,100
396,25,51,2700
234,7,70,900
926,6,71,100
540,16,74,1600
720,50,60,900
641,35,65,2100
122,34,75,3200
463,6,79,2600
740,8,59,2000
615,42,75,3700
560,2,53,3600
521,48,80,2700
746,20,79,700
62,25,71,1800
913,43,67,3700
174,19,50,3000
303,6,59,3800
859,21,52,400
765,32,67,3300
671,51,78,3100
960,31,63,100
369,47,66,200
461,1,64,3800
900,9,71,3000
719,38,67,4000
38,9,76,2300
883,22,62,900
575,39,69,500
220,20,51,800
149,17,77,3700
514,47,75,2300
231,19,52,400
523,33,58,1200
121,6,71,1700
201,38,69,100
54,30,51,2100
833,48,62,1200
624,28,63,500
38,11,72,1700
588,51,78,2300
201,39,77,2600
320,31,54,3600
97,42,76,1200
247,16,54,1700
912,27,69,1400
30,30,69,3500
437,22,72,2200
930,3,70,2000
270,35,75,200
692,30,75,1100
887,21,51,100
304,50,80,3400
691,20,71,400
947,27,56,1500
246,46,62,3200
669,26,72,3500
764,16,51,1700
447,8,77,900
750,52,68,4000
871,11,60,2500
848,22,52,100
726,47,79,2600
61,21,75,3900
833,50,52,800
270,17,80,3600
125,41,50,2200
437,34,79,3900
390,12,56,3300
615,25,59,1300
826,17,59,3300
924,50,73,400
849,12,50,3600
804,31,79,600
771,41,74,2900
113,51,60,2200
559,10,60,2100
437,48,57,3100
1003,30,53,2800
604,5,63,0
35,51,77,1300
606,35,66,600
360,34,74,1400
951,9,72,2200
83,16,65,600
740,20,64,1000
841,32,54,1100
531,38,60,2300
676,11,56,1500
596,15,53,2200
824,19,62,3400
606,5,59,1500
60,22,60,1500
690,8,59,2500
81,36,62,1000
501,18,79,2200
869,3,55,3200
432,15,64,3800
70,44,57,200
